,count,mean,std,min,25%,50%,75%,max
year,78682.0,2007.5063165654153,5.742768469645193,1999.0,2002.0,2007.0,2012.0,2018.0
X1,78682.0,880.3624845835133,3928.5647936521536,-7.76,18.924,100.4495,431.52675,169662.0
X2,78682.0,1594.5290288757276,8930.484664476238,-366.645,17.03825,103.661,634.548,374623.0
X3,78682.0,121.23425634833885,652.3768035960069,0.0,1.192,7.9295,47.97175,28430.0
X4,78682.0,376.75942418850553,2012.0231424233364,-21913.0,-0.811,15.034500000000001,139.65525,81730.0
X5,78682.0,201.6057165806665,1060.7660961034956,0.0,0.0,7.023,74.74725000000001,62567.0
X6,78682.0,129.38245296255815,1265.5320216400228,-98696.0,-7.41575,1.616,40.14425,104821.0
X7,78682.0,286.83274297806355,1335.9785706231128,-0.006,3.28125,22.82,131.5805,65812.0
X8,78682.0,3414.3546097951244,18414.103647388783,0.0001,34.98,227.51184999999998,1244.88995,1073390.54
X9,78682.0,2364.019706158969,11950.068841758379,-1964.999,27.548499999999997,186.5985,1046.4025,511729.0
X10,78682.0,2867.1106204214434,12917.944421187396,0.001,37.3635,213.2035,1171.3647500000002,531864.0
X11,78682.0,722.4837103911949,3242.1709464682044,-0.023,0.0,7.593500000000001,248.76075,166250.0
X12,78682.0,255.52503463307997,1494.6435340964404,-25913.0,-2.787,6.518000000000001,87.599,71230.0
X13,78682.0,769.4907831015989,3774.7031137877175,-21536.0,8.52125,63.5815,344.07425,137106.0
X14,78682.0,610.072254581734,2938.3874430504384,0.001,8.88925,43.333,222.817,116866.0
X15,78682.0,532.4670687832032,6369.15944044849,-102362.0,-68.28275,-1.131,146.07,402089.0
X16,78682.0,2364.019706158969,11950.068841758379,-1964.999,27.548499999999997,186.5985,1046.4025,511729.0
X17,78682.0,1773.563963168196,8053.684901565266,0.001,13.486,81.988,629.975,337980.0
X18,78682.0,1987.2603070587934,10419.629037669367,-317.197,32.8725,168.912,875.52225,481580.0
horizon_years,128906.0,1.653150357624936,1.1812933845048188,1.0,1.0,1.0,2.0,5.0
y,128906.0,0.05842241633438319,0.23454139154231216,0.0,0.0,0.0,0.0,1.0
Bankrupt_,6819.0,0.03226279513125092,0.17671017660772081,0.0,0.0,0.0,0.0,1.0
ROA_C_ before interest and depreciation before interest,6819.0,0.5051796332417815,0.06068563875428438,0.0,0.476527080388047,0.502705601325988,0.535562813825379,1.0
ROA_A_ before interest and _ after tax,6819.0,0.5586249158750463,0.06562003103170724,0.0,0.53554295682512,0.559801569995639,0.58915721761884,1.0
ROA_B_ before interest and depreciation after tax,6819.0,0.5535887093516656,0.061594809291875684,0.0,0.527276620804112,0.552277959205525,0.584105144815033,1.0
Operating Gross Margin,6819.0,0.6079480383703836,0.016933812548221468,0.0,0.6004446590466855,0.605997492036495,0.613914152697502,1.0
Realized Sales Gross Margin,6819.0,0.6079294691769791,0.016916070055675792,0.0,0.600433848859165,0.605975871661454,0.6138420847806975,1.0
Operating Profit Rate,6819.0,0.998755127790044,0.01301002509298413,0.0,0.998969203197885,0.999022239374566,0.999094514164357,1.0
Pre_tax net Interest Rate,6819.0,0.7971897524712905,0.012868988419884656,0.0,0.797385863236893,0.797463610578231,0.797578848185589,1.0
After_tax net Interest Rate,6819.0,0.8090835935135348,0.013600653945149043,0.0,0.809311597146491,0.809375198550956,0.809469266134837,1.0
Non_industry income and expenditure_revenue,6819.0,0.303622923649734,0.011163439838128557,0.0,0.30346627659685,0.303525492830123,0.303585192461218,1.0
Continuous interest rate _after tax_,6819.0,0.7813814325261416,0.012679004028913218,0.0,0.7815668165898519,0.781634957112874,0.7817353784192015,1.0
Operating Expense Rate,6819.0,1995347312.8028853,3237683890.522487,0.0,0.0001566874492428,0.0002777588583625,4145000000.0,9990000000.0
Research and development expense rate,6819.0,1950427306.0568295,2598291553.9983416,0.0,0.000128187953762,509000000.0,3450000000.0,9980000000.0
Cash flow rate,6819.0,0.4674311857796612,0.017035517308785393,0.0,0.4615577531181065,0.465079724549793,0.471003917029432,1.0
Interest_bearing debt interest rate,6819.0,16448012.905942537,108275033.5328233,0.0,0.0002030203020302,0.0003210321032103,0.0005325532553255,990000000.0
Tax rate _A_,6819.0,0.11500074794142427,0.13866749672835404,0.0,0.0,0.0734892195566353,0.205840672132807,1.0
Net Value Per Share _B_,6819.0,0.19066057949747392,0.033389768351330965,0.0,0.173612574269942,0.184400151700308,0.199570182461759,1.0
Net Value Per Share _A_,6819.0,0.19063317896774643,0.033473514172428914,0.0,0.173612574269942,0.184400151700308,0.199570182461759,1.0
Net Value Per Share _C_,6819.0,0.1906723702531618,0.033480137670409124,0.0,0.1736757827314485,0.184400151700308,0.199612321436096,1.0
Persistent EPS in the Last Four Seasons,6819.0,0.22881285256452782,0.03326261307597681,0.0,0.214711165736976,0.22454382149948,0.2388200813085,1.0
Cash Flow Per Share,6819.0,0.32348191216983224,0.01761091295834379,0.0,0.317747754120393,0.322487090613284,0.3286234703260945,1.0
Revenue Per Share _Yuan __,6819.0,1328640.6020960684,51707089.76790668,0.0,0.01563138073415305,0.0273757127516373,0.0463572152396509,3020000000.0
Operating Profit Per Share _Yuan __,6819.0,0.10909073887546925,0.027942244774416092,0.0,0.0960833808321798,0.104226040224737,0.1161550362348345,1.0
Per Share Net profit before tax _Yuan __,6819.0,0.18436057764203345,0.033180208980905374,0.0,0.170369812457634,0.179709271672818,0.193492505837162,1.0
Realized Sales Gross Profit Growth Rate,6819.0,0.02240785447416587,0.012079270152911575,0.0,0.022064532735505453,0.0221023731764072,0.022153148426612798,1.0
Operating Profit Growth Rate,6819.0,0.8479799951688083,0.01075247740540135,0.0,0.8479841081819834,0.848043533745768,0.8481225403945605,1.0
After_tax Net Profit Growth Rate,6819.0,0.6891461185681318,0.013853022260934765,0.0,0.6892699337448115,0.689438526343149,0.6896471679790515,1.0
Regular Net Profit Growth Rate,6819.0,0.6891500117795616,0.013910283414010594,0.0,0.689270265563206,0.689438555196922,0.6896470092832976,1.0
Continuous Net Profit Growth Rate,6819.0,0.21763901299696697,0.010062963146116098,0.0,0.2175795122117655,0.217598046961963,0.217621501194243,1.0
Total Asset Growth Rate,6819.0,5508096595.248749,2897717771.1697345,0.0,4860000000.0,6400000000.0,7390000000.0,9990000000.0
Net Value Growth Rate,6819.0,1566212.055241067,114159389.51833564,0.0,0.0004409688868264,0.0004619555222076,0.000499362141038,9330000000.0
Total Asset Return Growth Rate Ratio,6819.0,0.26424751187584133,0.009634208862611621,0.0,0.263758926420651,0.264049545034229,0.264388341065032,1.0
Cash Reinvestment _,6819.0,0.37967667232266245,0.02073656580961678,0.0,0.37474851905666695,0.380425468499683,0.386731120301032,1.0
Current Ratio,6819.0,403284.95424497686,33302155.82548018,0.0,0.00755504663011965,0.0105871744549939,0.0162695280201934,2750000000.0
Quick Ratio,6819.0,8376594.819684889,244684748.4468722,0.0,0.004725903227376101,0.0074124720675444,0.01224910697241505,9230000000.0
Interest Expense Ratio,6819.0,0.6309910117124214,0.01123846150405023,0.0,0.63061225188696,0.630698209613567,0.631125258558102,1.0
Total debt_Total net worth,6819.0,4416336.714259365,168406905.28151137,0.0,0.0030070491250148,0.005546284390702,0.00927329266179695,9940000000.0
Debt ratio _,6819.0,0.11317708497306007,0.053920306063082755,0.0,0.0728905281615624,0.111406717658796,0.148804305106267,1.0
Net worth_Assets,6819.0,0.8868229150269401,0.053920306063082714,0.0,0.8511956948937329,0.888593282341204,0.927109471838438,1.0
Long_term fund suitability ratio _A_,6819.0,0.00878273381503679,0.02815292604929068,0.0,0.0052436836906082,0.0056646361117639,0.00684743246553585,1.0
Borrowing dependency,6819.0,0.37465429459872324,0.01628616335550086,0.0,0.3701678435547765,0.372624322553083,0.3762707372009225,1.0
Contingent liabilities_Net worth,6819.0,0.0059682772664790325,0.01218836187585852,0.0,0.0053658477137564,0.0053658477137564,0.00576435604952715,1.0
Operating profit_Paid_in capital,6819.0,0.10897668140338519,0.0277816859856405,0.0,0.0961046786197013,0.104133079290635,0.115927337274252,1.0
Net profit before tax_Paid_in capital,6819.0,0.18271502907673604,0.030784771508309768,0.0,0.169376366789835,0.178455621747983,0.191606967800317,1.0
Inventory and accounts receivable_Net value,6819.0,0.4024593305206693,0.013324079587932261,0.0,0.3974026791778925,0.40013102490143,0.404550770809581,1.0
Total Asset Turnover,6819.0,0.14160561602172958,0.10114496849292293,0.0,0.0764617691154423,0.118440779610195,0.176911544227886,1.0
Accounts Receivable Turnover,6819.0,12789705.237553561,278259836.9840534,0.0,0.0007101336065656,0.0009678106580909,0.0014547594168788,9740000000.0
Average Collection Days,6819.0,9826220.861191595,256358895.70533204,0.0,0.0043865304397204,0.0065725374332349,0.00897287558119175,9730000000.0
Inventory Turnover Rate _times_,6819.0,2149106056.607619,3247967014.0479045,0.0,0.0001728255554827,0.0007646742653862,4620000000.0,9990000000.0
Fixed Assets Turnover Frequency,6819.0,1008595981.8175156,2477557316.9201717,0.0,0.0002330013064716,0.000593094234655,0.0036523711287173,9990000000.0
Net Worth Turnover Rate _times_,6819.0,0.03859505461495159,0.036680343560413456,0.0,0.0217741935483871,0.0295161290322581,0.0429032258064516,1.0
Revenue per person,6819.0,2325854.266358276,136632654.38993618,0.0,0.010432854016421151,0.0186155134174464,0.0358547655068079,8810000000.0
Operating profit per person,6819.0,0.40067101508133507,0.032720144194699506,0.0,0.392437981954275,0.395897876574478,0.40185093055335697,1.0
Allocation rate per person,6819.0,11255785.321742088,294506294.1167716,0.0,0.004120528997963601,0.0078443733586557,0.015020308976719,9570000000.0
Working Capital to Total Assets,6819.0,0.814125170261333,0.059054402648263365,0.0,0.774308962762401,0.81027522898466,0.8503828485419616,1.0
Quick Assets_Total Assets,6819.0,0.4001318123650569,0.2019980666806821,0.0,0.24197285659394002,0.386450924981744,0.540593673285078,1.0
Current Assets_Total Assets,6819.0,0.5222734467680339,0.21811182151419325,0.0,0.35284541721511353,0.514829793890847,0.6890506806831516,1.0
Cash_Total Assets,6819.0,0.12409456048965217,0.13925058358332654,0.0,0.03354322123979425,0.0748874639354301,0.1610731518633315,1.0
Quick Assets_Current Liability,6819.0,3592902.1968296515,171620908.60682204,0.0,0.00523977582664085,0.0079088979804512,0.0129509103075746,8820000000.0
Cash_Current Liability,6819.0,37159994.14713333,510350903.16273266,0.0,0.0019730075415488497,0.0049038864700734,0.0128055731079178,9650000000.0
Current Liability to Assets,6819.0,0.0906727945676238,0.05028985666891828,0.0,0.0533012764320206,0.0827047949822228,0.1195229934695275,1.0
Operating Funds to Liability,6819.0,0.35382800412158655,0.03514718417918804,0.0,0.34102297735578047,0.348596657106137,0.3609148870133705,1.0
Inventory_Working Capital,6819.0,0.27739510610233165,0.010468846972945246,0.0,0.2770339694810945,0.277177699032242,0.2774287054274715,1.0
Inventory_Current Liability,6819.0,55806804.52577957,582051554.6194199,0.0,0.0031631476746991002,0.0064973353534734,0.011146766748190151,9910000000.0
Current Liabilities_Liability,6819.0,0.7615988775853332,0.20667676768344168,0.0,0.6269807662218725,0.806881404713333,0.942026693700069,1.0
Working Capital_Equity,6819.0,0.7358165257322183,0.011678026475599065,0.0,0.733611818564342,0.736012732265696,0.738559910578823,1.0
Current Liabilities_Equity,6819.0,0.3314098006169883,0.013488027908897839,0.0,0.328095841686878,0.329685133135929,0.332322404809702,1.0
Long_term Liability to Current Assets,6819.0,54160038.13589435,570270621.9592273,0.0,0.0,0.0019746187761809,0.009005945944256601,9540000000.0
Retained Earnings to Total Assets,6819.0,0.9347327541270043,0.025564221690643096,0.0,0.9310965081459854,0.937672322031461,0.9448112860939986,1.0
Total income_Total expense,6819.0,0.002548945567386416,0.01209281469621801,0.0,0.0022355962096577498,0.0023361709310448,0.0024918511193838,1.0
Total expense_Assets,6819.0,0.02918409925586063,0.02714877679286157,0.0,0.01456705658927065,0.0226739487842648,0.035930137895265155,1.0
Current Asset Turnover Rate,6819.0,1195855763.3089354,2821161238.2624574,0.0,0.00014562362973865,0.0001987815566631,0.0004525945407579,10000000000.0
Quick Asset Turnover Rate,6819.0,2163735272.034426,3374944402.1661186,0.0,0.00014171486236355001,0.0002247727878357,4900000000.0,10000000000.0
Working capitcal Turnover Rate,6819.0,0.5940062655659163,0.008959384178922208,0.0,0.5939344215587965,0.593962767104877,0.5940023454696105,1.0
Cash Turnover Rate,6819.0,2471976967.4443183,2938623226.6788096,0.0,0.0002735337396781,1080000000.0,4510000000.0,10000000000.0
Cash Flow to Sales,6819.0,0.6715307810992098,0.009341345618300599,0.0,0.671565259253275,0.671573958092574,0.671586580417158,1.0
Fixed Assets to Assets,6819.0,1220120.5015895537,100754158.71316805,0.0,0.0853603651897917,0.196881048224411,0.3721999782647555,8320000000.0
Current Liability to Liability,6819.0,0.7615988775853332,0.20667676768344168,0.0,0.6269807662218725,0.806881404713333,0.942026693700069,1.0
Current Liability to Equity,6819.0,0.3314098006169883,0.013488027908897839,0.0,0.328095841686878,0.329685133135929,0.332322404809702,1.0
Equity to Long_term Liability,6819.0,0.11564465149636942,0.019529176275314322,0.0,0.110933233663468,0.112340004024972,0.117106091075626,1.0
Cash Flow to Total Assets,6819.0,0.6497305901792364,0.04737213191450499,0.0,0.633265319013864,0.645366460270721,0.6630618534616091,1.0
Cash Flow to Liability,6819.0,0.4618492532922571,0.0299426803452448,0.0,0.4571164765642225,0.459750137932885,0.46423584697152853,1.0
CFO to Assets,6819.0,0.5934150861096207,0.05856055014224861,0.0,0.5659869401753586,0.593266274083544,0.6247688757833555,1.0
Cash Flow to Equity,6819.0,0.3155823898995751,0.012960892401647255,0.0,0.312994699600273,0.314952752072916,0.317707188742567,1.0
Current Liability to Current Assets,6819.0,0.031506365747440736,0.03084468845356384,0.0,0.018033665707965,0.0275971428517009,0.0383746158541899,1.0
Liability_Assets Flag,6819.0,0.001173192550227306,0.03423431086529933,0.0,0.0,0.0,0.0,1.0
Net Income to Total Assets,6819.0,0.8077602200365486,0.040332191531426184,0.0,0.7967498491931705,0.810619042075101,0.8264545295408715,1.0
Total assets to GNP price,6819.0,18629417.81183602,376450059.74582857,0.0,0.0009036204813306,0.0020852127088157,0.0052697768568805,9820000000.0
No_credit Interval,6819.0,0.623914574767534,0.012289548007412275,0.0,0.623636304973909,0.623879225987712,0.6241681927893561,1.0
Gross Profit to Sales,6819.0,0.607946340270717,0.016933807795673626,0.0,0.6004428952063054,0.605998288167218,0.613913271038147,1.0
Net Income to Stockholder_s Equity,6819.0,0.8404020646301004,0.014522526082524972,0.0,0.8401148040637195,0.841178760250192,0.8423569700412374,1.0
Liability to Equity,6819.0,0.2803651538333931,0.014463223575594016,0.0,0.276944242646329,0.278777583629637,0.2814491856088265,1.0
Degree of Financial Leverage _DFL_,6819.0,0.027541119421203634,0.01566794186642957,0.0,0.0267911566924924,0.0268081258982465,0.026913184214613348,1.0
Interest Coverage Ratio _Interest expense to EBIT_,6819.0,0.5653579335465574,0.013214239761962015,0.0,0.565158395757604,0.565251928758969,0.565724709506105,1.0
Net Income Flag,6819.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Equity to Liability,6819.0,0.047578356529497656,0.05001371618013793,0.0,0.024476693570910098,0.0337976972031022,0.052837817459331596,1.0
class,43405.0,0.04817417348231771,0.21413658941138142,0.0,0.0,0.0,0.0,1.0
